OB_UIME,ZZZS_OE
Mokronog-Trebelno,NOVO MESTO
Poljčane,MARIBOR
Renče-Vogrsko,NOVA GORICA
Gorje,KRANJ
Log-Dragomer,LJUBLJANA
Rečica ob Savinji,RAVNE NA KOROŠKEM
Sveti Jurij v Slovenskih goricah,MARIBOR
Šentrupert,NOVO MESTO
Mirna,NOVO MESTO
Ankaran,KOPER
